names,scores,logfoldchanges,pvals,pvals_adj
ARGLU1,122.576675,1.1137755,0.0,0.0
AC023424.3,121.619446,2.1800463,0.0,0.0
MFSD4B,111.27623,1.2693442,0.0,0.0
DDX5,107.51688,0.6949678,0.0,0.0
PNN,103.11599,1.1166297,0.0,0.0
ANKUB1,98.305435,1.7692558,0.0,0.0
AL354733.3,96.71532,1.5478473,0.0,0.0
ZBTB20-AS5,96.585785,1.8673344,0.0,0.0
AC002463.1,95.26701,1.9139645,0.0,0.0
KANSL1,95.15153,0.73566014,0.0,0.0
AC006059.1,93.51969,2.000112,0.0,0.0
FTX,88.97768,0.4852528,0.0,0.0
TMLHE-AS1,86.869286,1.7927924,0.0,0.0
AC093535.1,86.122536,1.6996385,0.0,0.0
AP001021.3,85.99962,2.5329008,0.0,0.0
AL157938.2,83.835495,1.7446306,0.0,0.0
AC008771.1,83.81841,1.3777288,0.0,0.0
LINC00513,83.59346,1.3897372,0.0,0.0
SRSF7,83.37632,1.0113596,0.0,0.0
LUC7L3,83.2569,0.66890013,0.0,0.0
ZNF565,82.74466,1.3368083,0.0,0.0
AC053513.1,82.32655,1.8806235,0.0,0.0
AC023509.6,81.80569,1.5962712,0.0,0.0
BCL2L14,81.4976,1.7138556,0.0,0.0
CNTN5,81.25621,1.7873547,0.0,0.0
AP001011.1,80.77655,1.4166807,0.0,0.0
SAT1,79.67889,0.9331417,0.0,0.0
AC090579.1,79.586136,1.9692665,0.0,0.0
FILIP1L,78.94017,1.3018574,0.0,0.0
AC211433.1,78.89012,1.5357145,0.0,0.0
AC068587.4,77.541885,1.0138279,0.0,0.0
CCSER1,76.73349,1.2541603,0.0,0.0
AC120193.1,76.42738,2.53258,0.0,0.0
TAF1D,75.22318,0.8213764,0.0,0.0
RAB11A,74.565605,1.0157124,0.0,0.0
AP000787.1,74.38045,1.9025921,0.0,0.0
MAGI1-AS1,73.82089,2.5391212,0.0,0.0
RNF111,73.66259,0.81000835,0.0,0.0
USP3-AS1,73.35925,1.6861196,0.0,0.0
AC107068.2,73.17438,2.3070214,0.0,0.0
ANGPT2,72.60997,1.8045925,0.0,0.0
CGGBP1,72.490074,1.082902,0.0,0.0
HIF1A-AS3,71.18087,1.5618021,0.0,0.0
AC007098.1,70.82546,1.5287211,0.0,0.0
IL7,70.76047,1.7364819,0.0,0.0
AP003086.1,70.43622,1.5782139,0.0,0.0
AC002429.2,69.10424,2.1195784,0.0,0.0
ALG13-AS1,69.091194,2.2860684,0.0,0.0
AC068282.1,68.11524,1.6054641,0.0,0.0
CBR4,68.02449,0.7764789,0.0,0.0
AC007384.1,67.709885,1.7243936,0.0,0.0
IGFBP1,67.47981,6.6685467,0.0,0.0
AP002336.2,67.465614,1.3391135,0.0,0.0
ZRANB2,67.0979,0.59893835,0.0,0.0
FRAS1,66.93563,1.2477331,0.0,0.0
TIMP3,66.66252,1.6131288,0.0,0.0
NAV2,66.42038,1.1819072,0.0,0.0
AC131571.1,66.15789,1.8947581,0.0,0.0
AC023590.1,66.08416,1.8294318,0.0,0.0
AC027018.1,65.593895,1.8138379,0.0,0.0
AL035427.1,65.48987,1.9222097,0.0,0.0
ACTR3C,65.43444,1.4087974,0.0,0.0
SGCE,65.243576,1.2996083,0.0,0.0
AL157786.1,64.87745,1.758309,0.0,0.0
SLC16A4,64.81419,1.9829607,0.0,0.0
KLHL28,63.7901,1.1392804,0.0,0.0
AC087286.2,63.606735,1.5126902,0.0,0.0
AC117834.1,63.530396,1.9336532,0.0,0.0
AC017101.1,63.437344,2.215839,0.0,0.0
AC083870.1,63.102856,1.4058063,0.0,0.0
AC079465.1,62.78329,2.0695777,0.0,0.0
DLEU1,62.44083,1.1184492,0.0,0.0
AL031428.1,62.309803,1.6444607,0.0,0.0
IGFBP7,61.604137,0.72014046,0.0,0.0
CRLF3,61.526047,0.92379487,0.0,0.0
SNHG25,61.170433,1.0959017,0.0,0.0
TTC19,60.25979,0.7994773,0.0,0.0
AC074033.1,59.86516,2.2422712,0.0,0.0
LINC02523,59.73858,2.2907245,0.0,0.0
RPA3,59.69049,1.7145046,0.0,0.0
HIBCH,59.688,0.664833,0.0,0.0
RPL41,59.607323,0.54861456,0.0,0.0
SHOC1,59.576313,1.207926,0.0,0.0
RHEX,59.355984,0.8652895,0.0,0.0
BTD,59.107937,1.2593118,0.0,0.0
GNG12-AS1,58.982754,1.0909272,0.0,0.0
SORBS2,58.96173,0.9543052,0.0,0.0
PRPF4B,58.402065,0.592197,0.0,0.0
PCDH7,58.26386,0.7441081,0.0,0.0
PLCB1,58.11172,0.8526635,0.0,0.0
CYSTM1,58.054623,1.0859377,0.0,0.0
AL109824.1,57.563885,1.4331491,0.0,0.0
TMLHE,57.510433,0.96905965,0.0,0.0
KIZ-AS1,57.501774,1.7255147,0.0,0.0
GREM2,57.443798,1.2534724,0.0,0.0
KANSL1L,57.27658,0.6764494,0.0,0.0
AC246817.1,56.933285,1.2274746,0.0,0.0
AC104365.1,56.813934,2.0394478,0.0,0.0
HMGN3,56.594658,0.8335189,0.0,0.0
PDE5A,56.31458,0.7814432,0.0,0.0
AC008937.2,56.143333,2.4766665,0.0,0.0
AC110767.1,56.130993,1.5365877,0.0,0.0
RSRP1,55.888714,0.50980604,0.0,0.0
ANK3,55.70182,0.4625236,0.0,0.0
SRSF10,55.692543,0.65950257,0.0,0.0
GPSM2,54.646564,1.0846875,0.0,0.0
AC009554.1,54.29719,1.7494996,0.0,0.0
ZNF451-AS1,54.18427,1.9486178,0.0,0.0
LINC01090,53.99734,1.9366889,0.0,0.0
ERI2,53.93268,1.6098483,0.0,0.0
MYCBP2-AS1,53.91238,1.592818,0.0,0.0
AL359706.1,53.843967,1.81756,0.0,0.0
DIAPH2-AS1,53.220715,1.8423997,0.0,0.0
LUM,53.034363,0.7649859,0.0,0.0
STARD13-AS,52.948193,1.3769805,0.0,0.0
MIS18BP1,52.75527,0.8770277,0.0,0.0
HIST1H4C,52.651215,1.0059265,0.0,0.0
SRRM2,52.066216,0.4453031,0.0,0.0
DDX46,51.932034,0.56295305,0.0,0.0
TSPOAP1-AS1,51.887817,2.1459832,0.0,0.0
NR6A1,51.86594,0.8824443,0.0,0.0
LINC02672,51.689373,2.223276,0.0,0.0
MIR4435-2HG,51.678688,0.9933407,0.0,0.0
PLCH1,51.562313,0.97243553,0.0,0.0
DLGAP1,51.370342,0.54809755,0.0,0.0
H2AFZ,51.24239,1.1862447,0.0,0.0
MAGI1,51.217464,0.52850825,0.0,0.0
STRADB,50.907574,1.2956434,0.0,0.0
SYNC,50.875694,1.0898843,0.0,0.0
AL078459.1,50.314518,1.6557267,0.0,0.0
FHIT,50.274982,0.63453543,0.0,0.0
CASC19,50.272434,1.6390735,0.0,0.0
TTN,50.239037,1.5990928,0.0,0.0
ZMYM4-AS1,50.060528,1.9870555,0.0,0.0
L3MBTL4,50.052223,0.827054,0.0,0.0
AF127577.2,50.039726,1.9563154,0.0,0.0
